Ecological Site Name,Ecological Site ID,Forb,Grass,Shrub,Tree,Total,Artemisia tridentata (includes ssp. wyomingensis),Artemisia tridentata ssp. vaseyana ,Artemisia tridentata ssp. tridentata ,Coleogyne ramosissima,Quercus gambelii,Pinus edulis and Pinus monophyla,Juniperus spp.*,Populus tremuloides,Pinus ponderosa,Sarcobatus vermiculatus,Atriplex spp.**,Atriplex confertifolia,Sporobolus airoides,C3 Perennial Grasses,C4 Perennial Grasses,Strawman Soil Geomorphic Unit,Final Soil Geomorphic Unit,Climate Zone,Ecological Site Group
Semidesert Shallow Loam (Utah Juniper- James Galleta),R035XY222UT,48,191,74,151,464,0,0,0,0,0,15,150,0,0,0,0,0,0,18,138,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
Semidesert Shallow Clay (Mat Saltbush),R035XY223UT,23,34,169,0,225,0,0,0,0,0,0,0,0,0,0,170,11,0,18,0,SalineHills,SalineHills,Semiarid_Warm,Semiarid_Warm_SalineHills
Semidesert Shallow Sand (Blackbrush),R035XY224UT,20,63,200,18,300,0,0,0,200,0,0,18,0,0,0,0,10,0,49,69,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
Semidesert Shallow Sand (Cutler''s Jointfir),R035XY225UT,28,100,153,95,375,0,0,8,8,0,60,15,0,0,0,0,0,0,90,148,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
Semidesert Shallow Loam (Black Sagebrush/Indian Ricegrass),R035XY226UT,20,120,220,40,400,15,0,0,0,0,15,35,0,0,0,0,0,0,133,69,Shallow,VeryShallow,Semiarid_Warm,Semiarid_Warm_VeryShallow
Semidesert Shallow Sand (Utah Juniper-Pinyon),R035XY227UT,40,50,60,410,560,0,0,0,3,0,113,170,0,0,0,0,5,0,28,68,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
Semidesert Shallow Sandy Loam (Shadscale),R035XY230UT,100,150,175,5,430,0,0,0,4,0,0,5,0,0,0,0,51,0,34,56,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
Semidesert Shallow Sandy Loam (Blackbrush),R035XY233UT,23,40,150,10,223,0,0,0,120,0,0,10,0,0,0,0,31,0,23,29,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
Semidesert Shallow Shale (Utah Juniper-Pinyon),R035XY234UT,10,18,30,210,268,0,0,0,0,0,67,173,0,0,0,0,3,0,8,24,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
Semidesert Very Shallow Gravelly Loam (Utah Juniper),R035XY235UT,13,23,102,40,177,0,0,0,67,0,23,18,0,0,0,0,2,0,6,12,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Semidesert Shallow Sandy Loam (Utah Juniper, Blackbrush)",R035XY236UT,25,33,114,61,232,0,0,0,67,0,28,60,0,0,0,0,3,0,48,12,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
Semidesert Shallow Gypsum (Mormontea),R035XY237UT,15,25,100,10,150,3,0,0,8,0,10,10,0,0,0,0,0,0,18,25,Gypsum,Gypsum,Arid_Warm,Arid_Warm_Gypsum
Semidesert Shallow Clay (Shadscale-Utah Juniper),R035XY239UT,15,110,125,50,300,0,0,0,0,0,4,50,0,0,3,3,55,0,20,115,SalineUplands,SalineHills,Arid_Warm,Arid_Warm_SalineHills
Semidesert Steep Shallow Loam (Utah Juniper-Two-Needle Pinyon),R035XY240UT,23,49,115,48,234,0,0,0,20,0,23,33,0,0,0,0,8,0,19,8,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
Semidesert Gravelly Loam (Shadscale),R035XY242UT,23,168,150,0,340,0,0,0,5,0,0,0,0,0,0,5,100,10,53,200,DeepRocky,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
Semidesert Stony Loam (Blackbrush),R035XY243UT,55,198,273,0,525,30,0,0,185,0,0,0,0,0,0,0,30,0,163,183,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
Semidesert Stony Loam (Utah Juniper-Pinyon),R035XY246UT,28,200,53,150,430,0,0,0,3,0,50,113,0,0,0,0,10,0,45,208,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
Semidesert Very Steep Stony Loam (Salina Wildrye),R035XY260UT,20,169,100,20,309,0,0,0,13,0,10,20,0,0,0,0,45,0,59,53,DeepRocky,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Semidesert Very Steep Stony Loam (Two-Needle Pinyon, Utah Juniper)",R035XY263UT,19,61,83,44,206,0,0,0,12,0,18,28,0,0,0,0,0,0,43,20,Breaks,Breaks,Arid_Warm,Arid_Warm_Breaks
Semidesert Gypsum (Torrey's Jointfir),R035XY264UT,19,63,125,0,206,0,0,0,0,0,0,3,0,0,0,0,31,6,32,51,Gypsum,Gypsum,Arid_Warm,Arid_Warm_Gypsum
Upland Loam (Basin Big Sagebrush),R035XY306UT,52,615,359,0,1025,0,0,225,0,0,0,0,0,0,0,0,20,0,455,60,FinerUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Upland Sand (Mountain Big Sagebrush),R035XY307UT,49,288,294,0,630,0,242,0,0,38,0,0,0,0,0,0,0,0,149,174,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Upland Loam (Mountain Big Sagebrush),R035XY308UT,47,283,246,119,695,75,156,0,0,17,114,28,0,0,0,0,0,0,68,200,FinerUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Upland Sand (Mormon Tea),R035XY309UT,75,650,375,0,1100,0,0,100,0,0,0,0,0,0,0,0,0,0,345,155,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Upland Shallow Sand (Pinyon-Utah Juniper),R035XY314UT,15,23,100,225,363,0,0,0,0,0,175,100,0,6,0,0,0,0,15,18,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Upland Shallow Loam (Pinyon-Utah Juniper),R035XY315UT,15,35,130,460,640,3,10,0,0,50,365,130,0,20,0,0,0,0,23,24,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
